source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,power
2,3,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,4.42564234859538,2.21644998922636,1.99672556119352,224,0.0470653938920197,0.225095362092268,0.309395575275598
2,3,hbo,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,1.82555922293999,2.24070639820398,0.814724867302228,224,0.416095154162043,0.711786990404194,0.405019897218864
2,3,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-0.687206944940995,2.06090378971034,-0.333449309168179,224,0.739107064711808,0.885398238703402,0.552376881535425
2,3,hbr,0,aloc_sentences-dloc_jabwords,-0.958434206505203,1.13572282648957,-0.843897986507541,224,0.399626731887412,0.697760960438338,0.399879271111971
2,3,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-1.27983926186816,1.58936532484236,-0.80525178312613,224,0.421528322485839,0.711786990404194,0.406744297859994
2,3,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-0.63702915114225,1.58654748487831,-0.401519120741043,224,0.688420758330695,0.861307461752715,0.520052597148043
2,3,hbr,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,-1.03982210423715,1.64728409814649,-0.631234226935811,224,0.528530969486682,0.775178755247134,0.444255187687485
2,4,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,3.96934052520329,3.84224492683201,1.03307847385879,224,0.302681246328777,0.602623295858199,0.371758643823264
2,4,hbo,0,aloc_sentences-dloc_jabwords,0.455966779639198,1.76515091155937,0.258316032160892,224,0.796400201253082,0.907813700910249,0.596844950443733
2,4,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,4.26858666154063,2.56850807733272,1.66189341556339,224,0.097932929992311,0.350329180460299,0.316320436294167
2,4,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-3.35665310226223,2.54608246038263,-1.31835993314914,224,0.188729631403389,0.477247343778684,0.341378194965476
2,4,hbo,0,aloc_sentences-bloc_words-cloc_jabsent+dloc_jabwords,-5.40426634609713,2.59123334433613,-2.0855961729227,224,0.0381476139599053,0.202820367804154,0.341322806079709
2,4,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-1.59074866125502,2.17556386436289,-0.731189135521363,224,0.465427808430961,0.731386556105795,0.421253266269704
2,4,hbr,0,aloc_sentences-dloc_jabwords,-2.23981465794132,1.18928606982302,-1.88332707728985,224,0.060951761739019,0.255416906334937,0.304341759227498
2,4,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-2.37283601525645,1.67125512411541,-1.41979281380656,224,0.15705821039707,0.434699062850589,0.332949728563343
2,4,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-2.10679330062619,1.70846732170874,-1.23314814035721,224,0.218813008719237,0.501116013232997,0.349302320999719
