source,detector,type,ShortSeperation,cond,beta,se,tstat,dfe,p,q,power,Contrast
12,11,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,2.91994478362298,2.73129589903636,1.06906936910541,156,0.286689842604807,0.7046769066357529,0.36746839604094395,Syntactic (Sentence v. Non Sentence)
12,11,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,6.8942137197085,2.6898184154700298,2.5630777453443,156,0.0113205619116722,0.11886590007255803,0.525595754529278,Semantic (Words v. Non Words)
12,11,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,1.54495307823867,1.5928448916576001,0.969933159424527,156,0.333581232773128,0.747211047498623,0.38042610770060703,Localizer v. Not (Baseline)
12,11,hbr,0,aloc_sentences-dloc_jabwords,-0.0874916189878561,0.872428996010855,-0.100285088400211,156,0.9202467613622209,0.9702596396806,0.748035500714572,Federonko Contrast (Sent v. Wordlist)
12,11,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,0.42850751995309794,1.2607001530871598,0.339896460632438,156,0.734391708560178,0.940302347989458,0.549064956578084,Syntactic (Sentence v. Non Sentence)
12,11,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-0.60349075792881,1.27677201267989,-0.47266916249370894,156,0.63710984786951,0.9049052500542809,0.49207127556648406,Semantic (Words v. Non Words)
12,14,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-1.93468776240504,3.8736998915668304,-0.49944182991999897,156,0.618171809010465,0.899158994924313,0.48275764232320206,Localizer v. Not (Baseline)
12,14,hbo,0,aloc_sentences-dloc_jabwords,5.831994063717099,2.07808201631914,2.80643113116737,156,0.00564836614795111,0.0759140410284629,0.6206220989466221,Federonko Contrast (Sent v. Wordlist)
12,14,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,4.89425512326219,3.14818699444494,1.55462656185869,156,0.122061441692388,0.47606599812336,0.323601314161686,Syntactic (Sentence v. Non Sentence)
12,14,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,6.76973300417202,2.97192717928031,2.2778932981162003,156,0.0240908220453681,0.20002414967130802,0.4127405519420829,Semantic (Words v. Non Words)
12,14,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,0.6442024417076021,2.11727916322535,0.304259567135332,156,0.761335628760568,0.953610095385023,0.568420829131104,Localizer v. Not (Baseline)
12,14,hbr,0,aloc_sentences-dloc_jabwords,-1.05565765820822,1.2618566259811101,-0.836590811089521,156,0.40410229115571,0.78580068887429,0.40125522695804605,Federonko Contrast (Sent v. Wordlist)
12,14,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,0.45497397238267695,1.8114980463696202,0.251158963872183,156,0.8020217355035829,0.953610095385023,0.601793649795845,Syntactic (Sentence v. Non Sentence)
12,14,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-2.56628928879911,1.82675158106881,-1.40483759006663,156,0.162057670192094,0.53912254638162,0.334505674131643,Semantic (Words v. Non Words)
13,12,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,7.01757596405784,4.11885853508888,1.7037671734230602,156,0.0904157350432701,0.40506249299384994,0.314365221075772,Localizer v. Not (Baseline)
13,12,hbo,0,aloc_sentences-dloc_jabwords,-9.63370236707408,1.91551151901986,-5.029310589582621,156,1.33849302792843e-06,0.000224866828691977,0.9938036744735791,Federonko Contrast (Sent v. Wordlist)
13,12,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-7.78399130645601,2.6890425867195202,-2.8947073374364196,156,0.0043394157820554205,0.0607518209487758,0.653650411870683,Syntactic (Sentence v. Non Sentence)
13,12,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-11.483413427692199,2.8003499389279,-4.1007065824382405,156,6.61084761335964e-05,0.0032342746648849397,0.9443905807407551,Semantic (Words v. Non Words)
13,12,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,-1.6188028705249802,1.67668690227999,-0.965477137278104,156,0.33580020289372603,0.747211047498623,0.38105431877355606,Localizer v. Not (Baseline)
13,12,hbr,0,aloc_sentences-dloc_jabwords,0.9033758844421379,0.9208290296117351,0.9810462696023442,156,0.32808893937624,0.747211047498623,0.37887764785073796,Federonko Contrast (Sent v. Wordlist)
13,12,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,0.344762221533919,1.33228249234987,0.258775615166893,156,0.796149502747777,0.953610095385023,0.5966209265365501,Syntactic (Sentence v. Non Sentence)
13,12,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,1.4619895473503601,1.23644558293778,1.1824131749305802,156,0.23884087114797897,0.6420042616457671,0.35471107837969507,Semantic (Words v. Non Words)
13,13,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,8.625467839430621,3.8547177985530903,2.23763924888828,156,0.0266610824668045,0.208014618456154,0.397170328184188,Localizer v. Not (Baseline)
13,13,hbo,0,aloc_sentences-dloc_jabwords,-0.315758017550191,2.08924534586408,-0.151134962763121,156,0.8800645125601679,0.9640092244581809,0.6865402718427309,Federonko Contrast (Sent v. Wordlist)
13,13,hbo,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,4.390158027981601,3.04130070519414,1.4435133035295702,156,0.150881076585041,0.5235955781517021,0.331511599385824,Syntactic (Sentence v. Non Sentence)
13,13,hbo,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,-5.0216740630819805,2.8025751550499303,-1.79180710070646,156,0.0751022067714709,0.366202648502818,0.309536822897436,Semantic (Words v. Non Words)
13,13,hbr,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,0.6948560633110021,2.0075624828201,0.34611927113467106,156,0.729719441811325,0.9394089365846949,0.5458966253959749,Localizer v. Not (Baseline)
13,13,hbr,0,aloc_sentences-dloc_jabwords,3.89994857840468,1.19242709765445,3.27059707555794,156,0.00132089745511591,0.0369005444158769,0.779300225829318,Federonko Contrast (Sent v. Wordlist)
13,13,hbr,0,aloc_sentences-bloc_words+cloc_jabsent-dloc_jabwords,-1.57842408797532,1.7225909628738,-0.916308120728806,156,0.36091963550836,0.7795050376858109,0.38827849595914704,Syntactic (Sentence v. Non Sentence)
13,13,hbr,0,aloc_sentences+bloc_words-cloc_jabsent-dloc_jabwords,9.37832124478467,1.6330162460529598,5.74294424042157,156,4.72747482728349e-08,1.58843154196725e-05,0.9992776322352651,Semantic (Words v. Non Words)
14,11,hbo,0,aloc_sentences+bloc_words+cloc_jabsent+dloc_jabwords,1.0042385527594302,4.13570583867857,0.24282156225122303,156,0.80846260375385,0.9540865052711821,0.607622663392944,Localizer v. Not (Baseline)
